Titles,Lifetime_Gross,Max_theaters,Opening_col,Opening_theaters,Release_date,Distributor,Rank
The Story of the Weeping Camel,1763052,55,"$21,767",2,2004-06-04,THINKFilm,136
Valentino: The Last Emperor,1755134,38,"$21,762",1,2009-03-18,Truly Indie,137
Girl Rising,1727259,170,"$81,640",34,2013-03-07,GathrFilms,138
Every Little Step,1725141,70,"$68,504",8,2009-04-17,Sony Pictures Classics,139
Jane,1723379,96,"$58,348",3,2017-10-20,Abramorama,141
The Life and Times of Hank Greenberg,1712385,31,"$21,675",1,2000-01-12,Cowboy Pictures,142
Who Killed the Electric Car?,1678874,74,"$45,138",8,2006-06-28,Sony Pictures Classics,144
Weiner,1676108,88,"$84,173",5,2016-05-20,IFC Films,145
Tim's Vermeer,1671377,129,"$49,777",4,2014-01-31,Sony Pictures Classics,146
It Might Get Loud,1610163,75,"$92,679",7,2009-08-14,Sony Pictures Classics,149
Rhyme & Reason,1608277,280,"$853,589",280,1997-03-07,Miramax,150
Stories We Tell,1600145,70,"$27,053",2,2013-05-10,Roadside Attractions,151
I Am,1591034,74,"$10,092",1,2011-02-18,Paladin,152
Western Stars,1581681,553,"$560,282",345,2019-10-25,Warner Bros.,153
Vincent,1577480,16,"$4,632",1,1988-08-19,Roxie Releasing,154
Fed Up,1538899,104,"$126,028",18,2014-05-09,RADiUS-TWC,157
Murderball,1531154,97,"$57,286",8,2005-07-08,THINKFilm,158
Finding Vivian Maier,1514782,97,"$63,600",3,2014-03-28,IFC Films,159
Bill Cunningham: New York,1510026,34,"$33,677",1,2011-03-16,Zeitgeist Films,160
Why We Fight,1439972,64,"$53,571",6,2006-01-20,Sony Pictures Classics,162
The Kid Stays in the Picture,1439232,56,"$89,087",4,2002-07-26,Focus Features,163
No End in Sight,1433319,117,"$31,533",2,2007-07-27,Magnolia Pictures,164
Microcosmos,1433210,43,"$35,189",2,1996-10-09,Miramax,165
Marley,1413480,73,"$262,004",42,2012-04-20,Magnolia Pictures,166
The Celluloid Closet,1400591,38,"$95,047",9,1996-03-15,Sony Pictures Classics,168
X Games 3D: The Movie,1391434,1399,"$837,216",1399,2009-08-21,Walt Disney Studios Motion Pictures,169
The Salt of the Earth,1343349,80,"$44,900",4,2015-03-27,Sony Pictures Classics,170
Restrepo,1330894,52,"$35,581",2,2010-06-25,National Geographic Entertainment,171
Hearts of Darkness: A Filmmaker's Apocalypse,1318449,28,"$42,992",4,1991-11-27,Triton Pictures,173
Iris,1310678,92,"$57,254",6,2015-04-29,Magnolia Pictures,174
Anne Frank Remembered,1310200,31,"$26,697",4,1996-02-23,Sony Pictures Classics,175
The Wolfpack,1301696,94,"$43,920",2,2015-06-12,Magnolia Pictures,178
Dogtown and Z-Boys,1300682,70,"$103,355",20,2002-04-26,Sony Pictures Classics,179
No Safe Spaces,1291514,200,"$45,236",1,2019-10-25,Atlas Distribution Company,180
Startup.com,1283356,35,"$16,118",1,2001-05-11,Artisan Entertainment,181
Maria By Callas,1267301,149,"$91,915",16,2018-11-02,Sony Pictures Classics,182
McQueen,1257275,95,"$98,873",4,2018-07-20,Bleecker Street Media,184
Baraka,1254237,15,"$26,812",2,1993-09-24,The Samuel Goldwyn Company,185
Metallica & San Francisco Symphony - S&M2,1252385,655,"$144,736",157,2019-10-09,Trafalgar Releasing,186
Gonzo,1252100,59,"$191,942",26,2008-07-04,Magnolia Pictures,187
The Wedding Weekend,1232961,84,"$50,103",4,2006-10-27,The Weinstein Company,188
Metallica: Some Kind of Monster,1222708,147,"$46,359",3,2004-07-09,IFC Films,190
The Thin Blue Line,1209846,23,"$17,814",1,1988-08-26,Miramax,191
Inequality for All,1205273,103,"$140,888",28,2013-09-27,RADiUS-TWC,192
"Beats, Rhymes & Life: The Travels of A Tribe Called Quest",1200326,54,"$111,982",4,2011-07-08,Sony Pictures Classics,193
Backstage,1191835,322,"$496,226",322,2000-09-06,Miramax,194
The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble,1176781,82,"$24,614",3,2016-06-10,The Orchard,196
Festival Express,1174079,43,"$12,074",1,2004-07-23,THINKFilm,197
American Movie,1165795,29,"$20,260",2,1999-11-05,Sony Pictures Classics,198
Vaxxed: From Cover-Up to Catastrophe,1163265,95,"$28,339",1,2016-04-01,Cinema Libre Studio,199
"Yoo-Hoo, Mrs. Goldberg",1134623,25,"$19,302",2,2009-07-10,International Film Circuit,201
In the Shadow of the Moon,1134358,104,"$38,281",4,2007-09-07,THINKFilm,202
Paper Clips,1121744,43,"$25,535",5,2004-11-24,Slowhand Cinema Releasing,203
The U.S. vs. John Lennon,1109146,65,"$69,143",6,2006-09-15,Lionsgate,204
Page One,1067028,65,"$28,911",2,2011-06-17,Magnolia Pictures,208
Leonard Cohen: I'm Your Man,1044254,55,"$17,130",1,2006-06-21,Lionsgate,209
Dior and I,1028953,105,"$45,772",2,2015-04-10,The Orchard,211
Diana Vreeland: The Eye Has to Travel,1017579,27,"$63,700",3,2012-09-21,The Samuel Goldwyn Company,212
First Position,1014071,58,"$48,024",5,2012-05-04,IFC Films,213
Marianne & Leonard: Words of Love,1012034,101,"$44,942",4,2019-07-05,Roadside Attractions,214
Jesus Is King,973000,372,"$830,000",372,2019-10-25,IMAX,216
The Dawn Wall,970032,4,"$21,615",2,2018-09-14,The Orchard,217
Faces Places,953717,42,"$31,006",5,2017-10-06,Cohen Media Group,218
More Than a Game,950675,111,"$182,943",14,2009-10-02,Lionsgate,219
Encounters at the End of the World,944933,39,"$17,730",1,2008-06-11,THINKFilm,220
American Teen,942441,109,"$45,589",5,2008-07-25,Paramount Vantage,221
Dark Horse,940715,74,"$13,838",3,2016-05-06,Sony Pictures Classics,222
Patterns of Evidence: Exodus,925576,652,"$764,309",652,2015-01-19,Thinking Man Films,223
35 Up,922872,21,"$13,690",1,1992-01-15,The Samuel Goldwyn Company,224
Sholem Aleichem: Laughing in the Darkness,906666,29,"$20,247",1,2011-07-08,International Film Circuit,226
Toni Morrison: The Pieces I Am,903018,78,"$48,050",4,2019-06-21,Magnolia Pictures,227
Jesus Camp,902544,52,"$17,659",13,2006-09-15,Magnolia Pictures,228
The War Room,901668,21,"$15,264",1,1993-11-03,October Films,229
The Wildest Dream,898137,21,"$67,848",12,2010-08-06,National Geographic Entertainment,231
Best of Enemies: Buckley vs. Vidal,892802,69,"$50,378",3,2015-07-31,Magnolia Pictures,232
Tea With the Dames,889343,71,"$14,777",1,2018-09-21,IFC Films,233
Tyson,887918,56,"$85,046",11,2009-04-24,Sony Pictures Classics,234
"Fast, Cheap & Out of Control",878960,40,"$23,665",2,1997-10-03,Sony Pictures Classics,235
Between Me and My Mind,875191,488,"$14,614",16,2019-07-17,Trafalgar Releasing,236
Particle Fever,869838,27,"$53,901",4,2014-03-05,Abramorama,237
The Cove,857005,56,"$57,640",4,2009-07-31,Roadside Attractions,238
Marlene,852676,6,"$14,490",1,1986-11-07,Alive Films,239
Sharkwater,850920,60,"$37,140",60,2007-09-28,Freestyle Releasing,240
Generation Iron,849521,84,"$245,000",53,2013-09-20,The Vladar Company,241
The Call of Wild,833532,227,"$22,607",4,2007-07-25,Paramount Vantage,242
I.O.U.S.A.,821046,358,"$61,313",18,2008-08-22,Roadside Attractions,243
Bombshell: The Hedy Lamarr Story,820300,36,"$8,000",1,2017-11-24,Zeitgeist Films,244
Ballets Russes,815848,21,"$12,230",1,2005-10-26,Zeitgeist Films,245
Honeyland,815082,56,"$31,381",2,2019-07-26,Neon,246
Life Itself,810454,100,"$131,411",23,2014-07-04,Magnolia Pictures,247
The Tillman Story,802535,28,"$52,185",4,2010-08-20,The Weinstein Company,249
Visions of Light,799856,13,"$27,761",2,1993-02-24,Kino International,250
Into Great Silence,790452,19,"$11,355",1,2007-02-28,Zeitgeist Films,251
Trembling Before G-d,788896,8,"$21,410",1,2001-10-24,New Yorker Films,252
Up the Yangtze,783969,23,"$15,851",1,2008-04-25,Zeitgeist Films,253
The Wonder of it All,781016,39,"$18,988",3,2009-07-17,Indican Pictures,254
To Be and to Have,777129,14,"$20,528",3,2003-09-19,New Yorker Films,256
For All Mankind,770132,9,"$33,777",6,1989-11-01,Apollo Associates,259
Joni 75: A Birthday Celebration,752205,405,"$35,111",59,2019-02-07,Trafalgar Releasing,260
First Descent,750805,243,"$438,615",243,2005-12-02,Universal Pictures,261
Seymour: An Introduction,743541,64,"$26,587",2,2015-03-13,IFC Films,262
The Cross,741557,221,"$309,455",221,2009-03-27,8x Entertainment,263
David Crosby: Remember My Name,732793,67,"$43,483",4,2019-07-19,Sony Pictures Classics,266
Lost in La Mancha,732393,24,"$63,303",8,2003-01-31,IFC Films,267
Walk With Me,726726,61,"$9,932",1,2017-08-11,GathrFilms,268
May it Last: A Portrait of the Avett Brothers,725286,326,"$9,616",8,2017-09-12,Oscilloscope,269
The Big One,720074,53,"$146,909",33,1998-04-10,Miramax,270
Shanghai Ghetto,712446,13,"$10,356",1,2002-09-27,Menemsha Films,272
The 11th Hour,707343,111,"$60,853",4,2007-08-17,Warner Independent Pictures (WIP),273
Where's My Roy Cohn?,705274,66,"$41,202",4,2019-09-20,Sony Pictures Classics,274
Cartel Land,704352,65,"$15,581",2,2015-07-03,The Orchard,275
