Titles,Lifetime_Gross,Max_theaters,Opening_col,Opening_theaters,Release_date,Distributor,Rank
Al Franken: God Spoke,102990,10,"$10,533",2,2006-09-13,Balcony Releasing,801
Filmworker,102609,17,"$7,984",1,2018-05-11,Kino Lorber,802
Afghan Star,102115,5,"$3,671",1,2009-06-26,Zeitgeist Films,803
Cameraperson,102033,7,"$12,760",1,2016-09-09,Janus Films,804
A Lego Brickumentary,101531,93,"$43,285",93,2015-07-31,RADiUS-TWC,806
Score: A Film Music Documentary,101382,8,"$8,088",1,2017-06-16,Gravitas Ventures,807
Korengal,101310,11,"$14,630",1,2014-05-30,Saboteur Media,808
Freakonomics,101270,20,"$31,893",20,2010-10-01,Magnolia Pictures,809
The United States of Autism,100403,12,"$3,413",1,2013-04-05,Janson Media,812
One Track Heart: The Story of Krishna Das,100401,5,"$11,515",1,2013-05-08,Zeitgeist Films,813
Rejoice and Shout,100237,7,"$6,589",1,2011-06-03,Magnolia Pictures,815
Bhutto,100202,4,"$8,275",2,2010-12-03,First Run,816
No Impact Man: The Documentary,100028,8,"$15,215",2,2009-09-11,Oscilloscope,817
Yves Saint Laurent: His Life and Times,99819,2,"$15,385",1,2004-01-07,Empire Pictures Inc.,818
Under Our Skin,98548,6,"$7,043",1,2009-06-19,Shadow Distribution,820
Aida's Secrets,98468,9,"$5,665",1,2017-10-20,Music Box Films,821
Aileen: Life and Death of a Serial Killer,97362,6,"$16,158",3,2004-01-09,Lantern Lane Entertainment,822
Paragraph 175,96630,2,"$25,007",2,2000-09-13,New Yorker Films,824
A Poem Is a Naked Person,96592,5,"$5,526",1,2015-07-01,Janus Films,825
Louise Bourgeois,95865,4,"$9,220",1,2008-06-25,Zeitgeist Films,826
Biggie & Tupac,94874,6,"$5,728",1,2002-09-20,Roxie Releasing,827
Black Gold,93477,6,"$6,764",3,2006-10-06,California Newsreel,828
Celsius 41.11: The Temperature at Which the Brain... Begins to Die,93000,116,"$93,000",116,2004-10-22,Citizens United,829
My Reincarnation,92822,5,"$6,498",1,2011-10-28,Long Shot Factory,830
American: The Bill Hicks Story,92234,11,"$5,872",1,2011-04-08,Variance Films,831
The Brandon Teena Story,92113,2,"$11,281",1,1998-09-23,Zeitgeist Films,832
Martha & Ethel,91874,6,"$7,622",2,1995-02-03,Sony Pictures Classics,833
John McEnroe: In the Realm of Perfection,90964,22,"$7,878",1,2018-08-22,Oscilloscope,834
Loopers: The Caddie's Long Walk,90679,68,"$28,253",68,2019-06-07,Gravitas Ventures,835
Dina,90503,24,"$6,015",1,2017-10-06,The Orchard,836
The Unforeseen,90287,3,"$2,496",1,2008-02-29,The Cinema Guild,837
Pray the Devil Back to Hell,90066,5,"$8,227",1,2008-11-07,Balcony Releasing,838
Stripper,90000,1,"$14,155",1,1986-01-31,Twentieth Century Fox,839
Pump,89787,10,"$42,200",3,2014-09-19,Submarine Deluxe,840
The Principle,89543,3,"$8,657",1,2014-10-24,Rocky Mountain Pictures,841
Throw Down Your Heart,89521,4,"$7,283",2,2009-03-13,Argot Pictures,842
Stranded,89473,7,"$3,077",1,2008-10-22,Zeitgeist Films,843
Blindsight,89169,5,"$5,279",1,2008-03-05,Abramorama,844
Pete Seeger: The Power of Song,88312,3,"$11,945",1,2007-10-26,The Weinstein Company,845
Sunshine Superman,88097,21,"$8,991",3,2015-05-22,Magnolia Pictures,846
Jim Allison: Breakthrough,87984,10,"$8,679",3,2019-09-27,Dada Films,848
Advanced Style,87879,12,"$6,500",1,2014-09-26,Bond/360,849
Exporting Raymond,87727,13,"$35,292",13,2011-04-29,The Samuel Goldwyn Company,851
The Price of Everything,87400,8,"$16,817",1,2018-10-19,Home Box Office (HBO),852
America: Freedom to Fascism,87400,10,"$61,200",10,2006-07-28,Cinema Libre Studio,852
How to Cook Your Life,87370,7,"$8,741",4,2007-10-26,Roadside Attractions,854
Kurt Cobain About a Son,87016,6,"$10,749",2,2007-10-03,Balcony Releasing,855
Marina Abramovic: The Artist Is Present,86637,5,"$11,041",2,2012-06-13,Music Box Films,856
"My Love, Don't Cross That River",86446,6,"$6,340",2,2016-06-17,Film Movement,857
Author: The JT LeRoy Story,85999,27,"$23,413",5,2016-09-09,Magnolia Pictures,859
Vidal Sassoon: The Movie,85974,5,"$13,053",1,2011-02-11,Phase 4 Films,860
Tab Hunter Confidential,85812,9,"$9,945",2,2015-10-16,The Film Collaborative,861
Skid Row Marathon,84997,438,"$84,997",438,2019-10-14,Fathom Events,862
51 Birch Street,84689,6,"$10,827",2,2006-10-18,Truly Indie,863
Visitors,84577,13,"$9,094",1,2014-01-24,Cinedigm Entertainment Group,865
Watermark,84464,16,"$7,724",2,2014-04-04,Entertainment One,866
Woodstock: Three Days That Defined a Generation,84440,11,"$8,150",2,2019-05-24,PBS Distribution,867
Los Sures,83992,2,"$26,088",1,2016-04-15,Oscilloscope,868
12 O'Clock Boys,82614,21,"$44,108",21,2014-01-31,Oscilloscope,870
Praying with Lior,82553,4,"$8,401",1,2008-02-01,First Run,871
Better Living Through Circuitry,82378,8,"$24,970",4,2000-05-26,Seventh Art Releasing,872
Vita Activa: The Spirit of Hannah Arendt,82143,4,"$13,244",1,2016-04-06,Zeitgeist Films,873
The Whale,81881,5,"$4,835",2,2011-09-09,Paladin,874
Hating Breitbart,81432,8,"$40,673",4,2012-10-19,Rocky Mountain Pictures,876
Earth: One Amazing Day,81345,70,"$45,480",70,2017-10-06,BBC Worldwide North America,877
The Future of Food,81280,5,"$8,721",2,2005-09-14,Cinema Libre Studio,878
Waking Sleeping Beauty,80741,5,"$33,115",5,2010-03-26,Walt Disney Studios Motion Pictures,879
Searching for the Wrong-Eyed Jesus,79916,6,"$4,095",1,2005-07-13,Shadow Distribution,882
More Than Honey,79772,7,"$5,225",1,2013-06-12,Kino Lorber,883
Stefan Zweig: Farewell to Europe,78372,4,"$11,729",1,2017-05-12,First Run,886
Harold and Lillian: A Hollywood Love Story,78301,6,"$3,510",2,2017-04-28,Zeitgeist Films,887
Colliding Dreams,78288,14,"$16,438",4,2016-03-04,International Film Circuit,888
Bright Leaves,77888,4,"$4,485",1,2004-08-25,First Run,889
Circo,77466,4,"$5,403",1,2011-04-01,First Run,890
This Is Not a Film,77016,5,"$12,608",5,2012-02-29,Palisades Tartan,892
The Island President,76398,5,"$13,998",2,2012-03-28,The Samuel Goldwyn Company,893
Leviathan,76202,5,"$10,000",1,2013-03-01,The Cinema Guild,894
America the Beautiful,76173,5,"$6,760",1,2008-05-09,First Independent Pictures,895
Don't Blink,76134,4,"$10,382",1,2016-07-15,Grasshopper Film,896
93Queen,76056,3,"$6,302",1,2018-07-25,Abramorama,897
Whitey: United States of America v. James J. Bulger,75881,9,"$14,287",3,2014-06-27,Magnolia Pictures,898
Bill Nye: Science Guy,74909,9,"$7,005",1,2017-10-27,PBS Distribution,899
Batkid Begins: The Wish Heard Around the World,74709,14,"$19,437",4,2015-06-26,Warner Bros.,900
The Nomi Song,74631,3,"$14,510",2,2005-02-04,Palm Pictures,901
Shoot Down,74421,21,"$49,182",21,2008-01-25,Magic Lamp,902
Wait for Your Laugh,73585,5,"$14,946",2,2017-11-03,Vitagraph Films,904
Prodigal Sons,73544,11,"$6,102",1,2010-02-26,First Run,905
Enemies of the People,73171,6,"$2,277",1,2010-07-30,International Film Circuit,906
Do Not Resist,72791,8,"$7,150",1,2016-09-30,Vanish Films,908
After Tiller,72125,6,"$15,500",2,2013-09-20,Oscilloscope,909
The Invisible War,71968,19,"$16,500",4,2012-06-22,Cinedigm Entertainment Group,912
Dancer,71917,10,"$7,140",1,2016-09-09,IFC Films,913
Raiders!: The Story of the Greatest Fan Film Ever Made,71916,27,"$26,059",24,2016-06-17,Drafthouse Films,914
Runaway Slave,71737,6,"$3,626",1,2012-07-06,Rocky Mountain Pictures,915
Air Guitar Nation,71471,10,"$7,035",1,2007-03-23,Shadow Distribution,917
Freedom on My Mind,71176,1,"$4,272",1,1994-06-22,Tara Releasing,918
Norman Lear: Just Another Version of You,70950,6,"$16,912",2,2016-07-08,Music Box Films,919
Crossing the Bridge: The Sound of Istanbul,70685,3,"$9,161",1,2006-06-09,Strand Releasing,920
Crips and Bloods: Made in America,70219,4,"$10,537",1,2009-01-23,Argot Pictures,921
The Business of Being Born,69991,3,"$9,574",1,2008-01-09,International Film Circuit,922
Turn It Around: The Story of East Bay Punk,69787,3,"$5,211",1,2017-07-28,Abramorama,923
Zoo,69770,5,"$7,811",1,2007-04-25,THINKFilm,924
An Inconsistent Truth,69394,3,"$20,733",1,2012-01-27,Rocky Mountain Pictures,925
Strange Powers: Stephin Merritt and the Magnetic Fields,68719,5,"$4,620",1,2010-10-27,Variance Films,926
Take Me to the River,68598,13,"$25,588",12,2014-09-12,Abramorama,927
Alive and Kicking,68485,11,"$12,201",11,2017-04-07,Magnolia Pictures,928
Chef Flynn,68407,10,"$7,509",1,2018-11-09,Kino Lorber,929
Budrus,68353,4,"$7,819",1,2010-10-08,Balcony Releasing,930
2012: Time for Change,68339,2,"$9,009",1,2010-04-09,Mangusta Productions,931
Shake Hands with the Devil: The Journey of Roméo Dallaire,68249,4,"$1,848",1,2005-05-13,California Newsreel,932
Maidentrip,68243,9,"$1,622",1,2013-12-20,First Run,933
The Silence of Others,67986,6,"$7,868",1,2019-05-08,Argot Pictures,934
The Pervert's Guide to Ideology,67966,4,"$9,165",1,2013-11-01,Zeitgeist Films,935
I Am Big Bird: The Caroll Spinney Story,67845,17,"$10,000",1,2015-05-06,Tribeca Film,936
Happy Valley,67665,7,"$27,122",7,2008-03-28,Stone Five Studios,938
Lagerfeld Confidential,67500,2,"$11,477",1,2007-10-24,Koch Lorber Films,939
For No Good Reason,67421,21,"$4,516",2,2014-04-25,Sony Pictures Classics,941
The Doctor from India,67136,5,"$2,442",1,2018-04-20,Zeitgeist Films,943
The Sun Behind the Clouds: Tibet's Struggle for Freedom,67095,4,"$10,884",1,2010-03-31,Balcony Releasing,944
Pandora's Promise,66680,16,"$23,419",16,2013-06-12,Abramorama,945
Absolute Wilson,66217,3,"$6,879",2,2006-10-27,New Yorker Films,946
King Georges,66175,10,"$15,031",4,2016-02-26,IFC Films,947
Dancing Across Borders,66166,5,"$5,204",1,2010-03-26,First Run,948
Darshan,66032,5,"$3,360",1,2006-07-26,IFC Films,949
The Real Dirt on Farmer John,65429,10,"$12,376",3,2006-01-20,Slowhand Cinema Releasing,951
Architects of Denial,65424,11,"$58,472",11,2017-10-06,Dada Films,952
Beuys,65410,6,"$9,084",2,2018-01-17,Kino Lorber,953
Through a Lens Darkly: Black Photographers and the Emergence of a People,65169,3,"$9,456",1,2014-08-27,First Run,954
Racing Dreams,65082,33,"$20,048",33,2010-05-21,Hannover House,955
Bloodline,64698,5,"$6,658",1,2008-05-09,Cinema Libre Studio,957
Let the Fire Burn,64489,9,"$5,226",1,2013-10-02,Zeitgeist Films,958
Rock School,64310,32,"$28,136",32,2005-06-03,Picturehouse,959
"Monrovia, Indiana",63944,14,"$5,172",1,2018-10-26,Zipporah Films,960
Trapped,63241,8,"$17,626",3,2016-03-04,Abramorama,961
The Gardener,62734,2,"$6,298",1,2018-03-30,Gravitas Ventures,962
Cool It,62713,43,"$26,847",41,2010-11-12,Roadside Attractions,963
Drunk Stoned Brilliant Dead,62660,22,"$5,254",1,2015-09-25,Magnolia Pictures,964
Becoming Traviata,62652,7,"$5,000",1,2013-05-15,Distrib Films,965
The Order of Myths,62645,3,"$7,056",1,2008-07-25,The Cinema Guild,966
The Cave,62625,10,"$21,185",2,2019-10-18,National Geographic Entertainment,967
Tomorrow,62510,20,"$1,480",1,2017-03-10,Under The Milky Way,968
Vajra Sky Over Tibet,62356,4,"$4,471",1,2006-08-18,Truly Indie,969
Mifune: The Last Samurai,62279,9,"$4,296",1,2016-11-25,Strand Releasing,970
Maya Lin: A Strong Clear Vision,62186,6,"$2,273",1,1995-10-20,Ocean Releasing,971
Public Speaking,62173,2,"$6,260",1,2011-02-23,Rialto Pictures,972
Dark Star: HR Gigers Welt,61845,10,"$8,349",5,2015-05-15,Icarus Films,973
If a Tree Falls: A Story of the Earth Liberation Front,61794,5,"$5,634",2,2011-06-22,Oscilloscope,974
War Photographer,61040,1,"$9,327",1,2002-06-19,First Run,975
Don't Stop Believin': Everyman's Journey,61018,23,"$25,573",23,2013-03-08,Cinedigm Entertainment Group,976
The Good Old Naughty Days,60862,2,"$7,359",1,2003-03-28,Strand Releasing,977
How to Live Forever,60630,4,"$3,716",1,2011-05-13,Variance Films,978
The Long Way Home,60509,7,"$10,606",7,1997-09-17,Seventh Art Releasing,979
Limelight,60335,4,"$9,259",1,2011-09-23,Magnolia Pictures,980
Boogie Man: The Lee Atwater Story,60332,10,"$10,939",2,2008-09-26,InterPositive Media,981
Presenting Princess Shaw,60197,12,"$4,814",3,2016-05-27,Magnolia Pictures,983
Gregory Crewdson: Brief Encounters,60064,3,"$1,492",1,2012-11-02,Zeitgeist Films,985
Manolo: The Boy Who Made Shoes for Lizards,60056,11,"$8,186",3,2017-09-15,Music Box Films,986
Bang! The Bert Berns Story,59299,5,"$3,923",1,2017-04-26,Abramorama,989
Roman Polanski: Wanted and Desired,59192,9,"$4,613",1,2008-07-11,THINKFilm,990
The Trials of Muhammad Ali,59081,10,"$2,980",1,2013-08-23,Kino Lorber,991
"Westwood: Punk, Icon, Activist",58979,8,"$4,450",1,2018-06-08,Greenwich Entertainment,992
Maxed Out,58829,6,"$20,024",6,2007-03-09,Magnolia Pictures,993
Side by Side,58825,9,"$6,956",1,2012-08-17,Tribeca Film,994
Sagrada: The Mystery of Creation,58755,5,"$2,009",1,2014-09-12,First Run,995
Horn from the Heart: The Paul Butterfield Story,58597,2,"$3,086",1,2018-10-17,Abramorama,996
Four Seasons Lodge,58334,3,"$11,667",1,2009-11-11,First Run,997
Voices of Iraq,57999,12,"$30,634",12,2004-10-29,Magnolia Pictures,999
The End of Poverty?,57805,5,"$12,593",1,2009-11-13,Cinema Libre Studio,1000
Command and Control,57635,6,"$5,385",1,2016-09-14,American Experience Films,1001
Ramen Heads,57345,6,"$7,085",2,2018-03-16,FilmBuff,1002
Beautiful Losers,56386,3,"$10,607",1,2008-08-08,Sidetrack Films,1004
Big Men,56286,3,"$7,539",1,2014-03-14,Abramorama,1005
Divan,56214,4,"$3,560",1,2004-03-17,Zeitgeist Films,1007
Terms and Conditions May Apply,55824,6,"$4,446",1,2013-07-12,Variance Films,1008
Finding Joe,55518,7,"$8,753",1,2011-09-30,Balcony Releasing,1009
The Boys,55513,5,"$14,632",5,2009-05-22,Walt Disney Studios Motion Pictures,1010
The Lovers & the Despot,55511,13,"$14,925",8,2016-09-23,Magnolia Pictures,1011
The Paris Opera,55482,9,"$7,709",4,2017-10-18,Film Movement,1012
Voyage of Time,55409,15,"$55,409",15,2016-10-07,IMAX,1014
That Man: Peter Berlin,55398,1,"$7,511",1,2006-01-13,Gorilla Factory Productions,1015
Into Eternity,55366,6,"$3,530",1,2011-02-02,International Film Circuit,1016
The Lovely Month of May,55038,3,"$10,662",3,2013-09-13,Icarus Films,1018
The Nature of Existence,54645,4,"$2,977",1,2010-06-18,Walking Shadows,1019
In a Dream,54640,4,"$5,297",1,2009-04-10,International Film Circuit,1020
The Lottery,54543,3,"$16,435",1,2010-06-11,Variance Films,1021
Harlan: In the Shadow of Jew Suess,54305,5,"$9,258",1,2010-03-03,Zeitgeist Films,1022
The Search for General Tso,54275,13,"$9,336",2,2015-01-02,IFC Films,1023
Surviving Progress,53953,6,"$4,161",2,2012-04-06,First Run,1024
Ballot Measure 9,53819,1,"$8,143",1,1995-03-31,Zeitgeist Films,1025
The Other F Word,53714,6,"$15,792",2,2011-11-04,Oscilloscope,1026
Plagues and Pleasures on the Salton Sea,53471,3,"$4,424",2,2006-02-24,Tilapia Film,1027
High Lonesome: The Story of Bluegrass Music,53319,2,"$9,571",1,1994-04-29,Tara Releasing,1028
Making Waves: The Art of Cinematic Sound,53144,11,"$12,348",3,2019-10-25,Matson Films,1029
The Extraordinary Voyage,52986,6,"$2,915",3,2012-02-10,Flicker Alley,1030
To Be Takei,52823,22,"$22,846",22,2014-08-22,Starz Digital Media,1032
Billy the Kid,52823,3,"$7,923",1,2007-12-05,Elephant Eye Films,1032
Occupy Unmasked,52768,4,"$40,952",4,2012-09-21,Magnolia Pictures,1034
!Women Art Revolution,52681,4,"$5,791",2,2011-06-01,Zeitgeist Films,1035
The Last Man on the Moon,52482,14,"$30,880",13,2016-02-26,Gravitas Ventures,1036
Cropsey,52476,4,"$6,306",1,2010-06-04,Cinema Purgatorio,1037
Visual Acoustics,52467,5,"$3,517",1,2009-10-09,Arthouse Films,1038
Breath Made Visible: Anna Halprin,52387,3,"$8,425",3,2010-04-02,Argot Pictures,1040
The Human Experience,52296,5,"$27,170",5,2010-04-09,Grassroots Films,1041
My Journey Through French Cinema,52214,4,"$10,636",3,2017-06-23,Cohen Media Group,1042
Dare Not Walk Alone,52166,3,"$9,259",3,2008-04-25,Indican Pictures,1043
The Missing Picture,52164,9,"$10,148",5,2014-03-19,Strand Releasing,1044
Screamers,52034,4,"$23,609",4,2006-12-08,Maya Entertainment,1045
Hiding and Seeking: Faith and Tolerance After the Holocaust,51936,2,"$6,423",1,2004-02-06,First Run,1046
Burma VJ: Reporting from a Closed Country,51672,3,"$5,554",1,2009-05-20,Oscilloscope,1049
Venus and Serena,51271,8,"$10,981",4,2013-05-10,Magnolia Pictures,1052
God Loves Uganda,51229,5,"$7,300",1,2013-10-11,Variance Films,1053
Gunnin' for That #1 Spot,50804,14,"$20,355",14,2008-06-27,Oscilloscope,1056
Long Night's Journey Into Day,50715,3,"$6,027",1,2000-03-29,Seventh Art Releasing,1057
The Line King: The Al Hirschfeld Story,50605,7,"$5,677",1,1996-09-27,Castle Hill Productions,1058
Keep Quiet,50451,3,"$6,500",1,2017-02-17,Kino Lorber,1059
American Casino,50437,3,"$1,397",1,2009-08-14,Argot Pictures,1060
The Yes Men Are Revolting,50190,20,"$12,462",10,2015-06-12,The Orchard,1061
Pianomania,49852,6,"$2,238",1,2011-05-27,First Run,1064
NOW: In the Wings on a World Stage,49591,3,"$21,500",3,2014-05-02,Spacey,1066
Orgasm Inc.,49001,3,"$8,773",2,2011-02-11,First Run,1067
The Seven Five,48869,5,"$14,785",2,2015-05-08,IFC Films,1070
Ghosts of Cité Soleil,48752,3,"$7,100",1,2007-06-27,THINKFilm,1071
American Mustang,48700,3,"$7,906",1,2014-01-17,Vitagraph Films,1072
Hal,48698,10,"$5,150",1,2018-09-07,Oscilloscope,1073
Mademoiselle C,48668,7,"$14,284",6,2013-09-11,Cohen Media Group,1074
The China Hustle,48650,20,"$25,791",20,2018-03-30,Magnolia Pictures,1075
Shakespeare Behind Bars,48594,5,"$2,253",1,2006-03-10,International Film Circuit,1076
Saving Banksy,47965,6,"$1,317",1,2017-01-13,Parade Deck Films,1077
The Queen,47818,7,"$7,173",1,2019-06-28,Kino Lorber,1078
Quest,47807,3,"$6,591",1,2017-12-01,First Run,1079
Terror's Advocate,47724,4,"$11,197",3,2007-10-12,Magnolia Pictures,1080
Sing Your Song,47718,4,"$13,459",2,2012-01-13,S2BN Films,1081
GMO OMG,47558,9,"$15,100",1,2013-09-13,Submarine Deluxe,1082
Entre les Bras,47439,6,"$5,643",2,2012-09-14,The Cinema Guild,1084
Tibet: A Buddhist Trilogy,47243,8,"$6,596",8,2006-03-31,Thread Cross Films,1085
The Goebbels Experiment,47211,2,"$6,769",1,2005-08-12,First Run,1086
Collapse,46964,5,"$7,800",1,2009-11-06,Vitagraph Films,1087
Twenty Two,46796,11,"$22,222",11,2017-09-08,China Lion Film Distribution,1088
"Connected: An Autoblogography About Love, Death & Technology",46782,7,"$13,301",3,2011-09-16,Paladin,1089
On the Ropes,46737,5,"$7,431",1,1999-08-18,Wellspring Media,1090
The Woodmans,46623,3,"$5,874",1,2011-01-19,Lorber Films,1091
Etoiles: Dancers of the Paris Opera Ballet,46412,1,"$4,117",1,2002-11-08,First Run,1092
William S. Burroughs: A Man Within,46380,4,"$6,510",1,2010-11-17,Oscilloscope,1093
The Hip Hop Project,46208,42,"$32,520",42,2007-05-11,THINKFilm,1094
Ballplayer: Pelotero,46109,10,"$20,628",10,2012-07-13,Strand Releasing,1095
William Kunstler: Disturbing the Universe,46078,6,"$10,322",2,2009-11-13,Arthouse Films,1096
Summer in the Forest,45542,6,"$8,366",1,2018-03-23,Abramorama,1098
Feed,45488,1,"$11,448",1,1992-10-07,Original Cinema,1099
We Are X,45270,12,"$7,526",1,2016-10-21,Drafthouse Films,1100
Ai Weiwei: The Fake Case,45255,8,"$5,066",1,2014-05-16,International Film Circuit,1101
There's No Place Like Utopia,45254,5,"$30,710",1,2014-07-18,Rocky Mountain Pictures,1102
American Made Movie,45175,6,"$1,613",2,2013-08-30,Variance Films,1103
The Proposal,45149,6,"$10,449",1,2019-05-24,Oscilloscope,1104
The Pruitt-Igoe Myth,44883,6,"$4,721",1,2012-01-20,First Run,1106
The Dog,44581,16,"$12,431",3,2014-08-08,Drafthouse Films,1108
What Is Democracy?,44536,6,"$6,284",1,2019-01-16,Zeitgeist Films,1109
Moving the Mountain,44536,3,"$3,199",1,1995-04-26,October Films,1109
William Eggleston in the Real World,44435,2,"$6,820",1,2005-08-31,Palm Pictures,1111
Carmine Street Guitars,44253,5,"$6,090",1,2019-04-24,Abramorama,1112
Danny Says,44213,16,"$11,244",16,2016-09-30,Magnolia Pictures,1114
Regret to Inform,44204,3,"$6,294",1,1999-06-25,Artistic License,1115
Garry Winogrand: All Things are Photographable,44002,3,"$9,058",1,2018-09-19,Greenwich Entertainment,1116
Granito,43942,5,"$4,330",1,2011-09-14,International Film Circuit,1117
For Sama,43796,4,"$9,350",3,2019-07-26,PBS Distribution,1118
Hitler's Hollywood,43766,6,"$8,634",1,2018-04-11,Kino Lorber,1119
A Grin Without A Cat,43616,1,"$8,449",1,2002-05-01,Icarus Films,1120
Love Etc.,43593,2,"$8,781",2,2011-07-01,Paladin,1121
If You Build It,43393,5,"$4,949",1,2014-01-10,Long Shot Factory,1123
Antonio Lopez 1970: Sex Fashion & Disco,43169,5,"$7,167",1,2018-09-14,Film Movement,1124
Next Goal Wins,43089,10,"$2,568",5,2014-04-25,Ketchup Entertainment,1125
Andre Gregory: Before and After Dinner,42892,3,"$7,980",1,2013-04-03,The Cinema Guild,1126
Last Call at the Oasis,42423,6,"$8,899",3,2012-05-04,ATO Pictures,1127
Midnight Family,42310,13,"$3,030",1,2019-12-06,1091 Pictures,1129
The Oath,42273,4,"$5,760",1,2010-05-07,Zeitgeist Films,1130
Mandela,42056,8,"$8,413",8,1997-03-21,Palm Pictures,1132
On the Bowery,41802,1,"$13,236",1,2010-09-17,Milestone,1133
We Live in Public,41711,2,"$7,325",1,2009-08-28,Abramorama,1134
A State of Mind,41468,5,"$5,515",1,2005-08-10,Kino International,1136
Nowitzki: The Perfect Shot,41340,4,"$20,049",4,2015-07-10,Magnolia Pictures,1138
The Betrayal,41271,3,"$5,864",1,2008-11-21,The Cinema Guild,1139
Midnight Traveler,41265,7,"$3,549",1,2019-09-18,Oscilloscope,1140
Censored Voices,41260,6,"$6,153",2,2015-11-20,Music Box Films,1141
"Sobibór, October 14, 1943, 4 p.m.",41040,2,"$7,412",1,2001-10-12,New Yorker Films,1144
Tom Dowd & the Language of Music,40919,10,"$16,522",10,2004-08-13,Palm Pictures,1145
Moving Midway,40864,4,"$6,539",2,2008-09-12,First Run,1146
The New Rijksmuseum - The Film,40578,5,"$2,631",3,2015-06-19,First Run,1148
Tying the Knot,40576,8,"$24,517",8,2004-10-01,IDP Distribution,1149
My Flesh and Blood,40573,7,"$18,763",7,2003-11-28,Strand Releasing,1150
The Last of the Unjust,40563,8,"$14,328",8,2014-02-07,Cohen Media Group,1151
The Dhamma Brothers,40492,3,"$3,710",1,2008-04-11,Balcony Releasing,1152
Yiddish Theater: A Love Story,40182,3,"$1,886",1,2007-11-21,New Love Films,1153
Teenage,40169,4,"$8,000",1,2014-03-14,Oscilloscope,1154
What Our Fathers Did: A Nazi Legacy,40119,14,"$8,132",2,2015-11-06,Oscilloscope,1155
Addiction Incorporated,40106,5,"$1,629",1,2011-12-14,Variance Films,1156
Louder Than a Bomb,40000,4,"$2,300",1,2011-05-18,Balcony Releasing,1158
Rape of the Soul,39975,8,"$15,602",8,2006-03-17,Slowhand Cinema Releasing,1159
The Short Game,39819,20,"$28,434",17,2013-09-20,The Samuel Goldwyn Company,1160
Khodorkovsky,39522,2,"$6,110",1,2011-11-30,Kino Lorber,1162
Refusenik,39456,3,"$3,604",2,2008-04-11,Abramorama,1163
How to Make Money Selling Drugs,39192,5,"$9,202",5,2013-06-26,Tribeca Film,1167
The Expedition to the End of the World,39115,4,"$6,635",1,2014-08-20,Argot Pictures,1168
A Personal Journey with Martin Scorsese Through American Movies,39075,1,"$10,350",1,1998-03-06,Walt Disney Studios Motion Pictures,1169
Tell Them Who You Are,39075,4,"$4,060",1,2005-05-13,THINKFilm,1169
Herb & Dorothy 50X50,38933,8,"$6,157",1,2013-09-13,Fine Line Media,1171
Tsahal,38773,1,"$12,195",1,1995-01-27,New Yorker Films,1173
Paul Williams: Still Alive,38691,2,"$6,116",1,2012-06-08,Abramorama,1174
Rising from Ashes,38602,5,"$7,298",3,2013-08-02,First Run,1176
Divide and Conquer,38510,16,"$18,833",15,2018-12-07,Magnolia Pictures,1177
Death by China,38492,3,"$5,701",1,2012-08-17,Area 23a,1178
Oh My God,38244,7,"$8,263",3,2009-11-13,Mitropoulos Films,1179
Germans & Jews,38100,2,"$5,024",1,2016-06-10,First Run,1180
The Legend of Pale Male,38083,4,"$12,910",1,2010-11-24,Balcony Releasing,1181
Girlhood,37977,3,"$4,845",2,2003-10-29,Wellspring Media,1182
I Am the Blues,37849,5,"$5,105",4,2017-07-12,Film Movement,1183
The Heart of Nuba,37788,4,"$4,016",1,2018-04-06,Abramorama,1184
Wagner & Me,37745,4,"$4,891",2,2012-12-07,First Run,1185
Mumia: Long Distance Revolutionary,37731,4,"$9,283",1,2013-02-01,First Run,1186
78/52: Hitchcock's Shower Scene,37664,22,"$3,738",1,2017-10-13,IFC Films,1187
School Life,37381,13,"$2,332",1,2017-09-08,Magnolia Pictures,1188
Benjamin Smoke,37111,2,"$6,183",1,2000-07-21,Cowboy Pictures,1189
The Quiet One,37010,13,"$7,695",6,2019-06-21,IFC Films,1190
Grey Gardens,36923,1,"$13,845",1,2015-03-06,Janus Films,1191
Twist,36875,6,"$1,589",1,1993-07-16,Triton Pictures,1192
Searching for Ingmar Bergman,36686,8,"$5,996",1,2018-11-02,Oscilloscope,1193
Paper Dolls,36577,3,"$7,870",3,2006-09-06,Strand Releasing,1194
Been Rich All My Life,36406,3,"$8,252",1,2006-07-21,First Run,1195
Mansome,36280,20,"$18,395",20,2012-05-18,Paladin,1197
Welcome to Leith,36010,5,"$3,707",1,2015-09-09,First Run,1198
The Road Movie,35757,19,"$17,175",19,2018-01-19,Oscilloscope,1199
Paul Goodman Changed My Life,35671,2,"$5,754",1,2011-10-19,Zeitgeist Films,1200
Far Out Isn't Far Enough: The Tomi Ungerer Story,35647,5,"$3,700",1,2013-06-14,First Run,1201
The Year of the Yao,35591,12,"$27,823",12,2005-04-15,Fine Line Features,1202
Finders Keepers,35555,32,"$5,740",5,2015-09-25,The Orchard,1203
Can Mr. Smith Get to Washington Anymore?,35397,1,"$6,742",1,2006-07-27,At Risk Films,1205
Rat Film,35195,4,"$7,793",2,2017-09-15,The Cinema Guild,1206
Our City Dreams,34972,3,"$4,056",1,2009-02-06,First Run,1207
A Decade Under the Influence,34837,3,"$2,320",1,2003-04-25,IFC Films,1208
